Tweets,created_at,geo,coordinates,place,lang,entities
"خبراء تربويون: اللقاح هو الحل الأمثل لعودة التعليم الوجاهي 
https://t.co/HrGCRT9pxV",2021-04-30 14:32:49,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HrGCRT9pxV', 'expanded_url': 'http://assabeel.net/484081', 'display_url': 'assabeel.net/484081', 'indices': [60, 83]}]}"
@RoyaTV خاوا يعني اللقاح طيب شو مصلحتكم كل واحد ادرى بصحته,2021-04-30 14:08:53,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RoyaTV', 'name': 'رؤيا', 'id': 256116885, 'id_str': '256116885', 'indices': [0, 7]}], 'urls': []}"
"RT @RoyaTV: خبراء تربويون: اللقاح هو الحل الأمثل لعودة التعليم الوجاهي
#عاجل #رؤيا_الاخباري #الأردن #كورونا 

https://t.co/XgyZRgYkt6",2021-04-30 14:05:24,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [71, 76]}, {'text': 'رؤيا_الاخباري', 'indices': [77, 91]}, {'text': 'الأردن', 'indices': [92, 99]}, {'text': 'كورونا', 'indices': [100, 107]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RoyaTV', 'name': 'رؤيا', 'id': 256116885, 'id_str': '256116885', 'indices': [3, 10]}], 'urls': [{'url': 'https://t.co/XgyZRgYkt6', 'expanded_url': 'https://royanews.tv/news/244468', 'display_url': 'royanews.tv/news/244468', 'indices': [110, 133]}]}"
"خبراء تربويون: اللقاح هو الحل الأمثل لعودة التعليم الوجاهي
#عاجل #رؤيا_الاخباري #الأردن #كورونا 

https://t.co/XgyZRgYkt6",2021-04-30 14:05:00,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [59, 64]}, {'text': 'رؤيا_الاخباري', 'indices': [65, 79]}, {'text': 'الأردن', 'indices': [80, 87]}, {'text': 'كورونا', 'indices': [88, 95]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XgyZRgYkt6', 'expanded_url': 'https://royanews.tv/news/244468', 'display_url': 'royanews.tv/news/244468', 'indices': [98, 121]}]}"
"خبراء تربويون: اللقاح هو الحل الأمثل لعودة التعليم الوجاهي
#عاجل #رؤيا_الاخباري #الأردن #كورونا 

https://t.co/hO1E9JqkLQ",2021-04-30 14:04:43,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [59, 64]}, {'text': 'رؤيا_الاخباري', 'indices': [65, 79]}, {'text': 'الأردن', 'indices': [80, 87]}, {'text': 'كورونا', 'indices': [88, 95]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hO1E9JqkLQ', 'expanded_url': 'https://royanews.tv/news/244468', 'display_url': 'royanews.tv/news/244468', 'indices': [98, 121]}]}"
"RT @mohammed_Rafi3: - شخص قرر يتلقى اللقاح 
- دائرة المؤامرات الماسونية بامريكا : https://t.co/uDW3zbmI6h",2021-04-30 12:10:57,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mohammed_Rafi3', 'name': 'Mohammed Rafi 🕸', 'id': 945728270, 'id_str': '945728270', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1388094552070840320, 'id_str': '1388094552070840320', 'indices': [82, 105], 'media_url': 'http://pbs.twimg.com/media/E0OApALWYAATXGE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E0OApALWYAATXGE.jpg', 'url': 'https://t.co/uDW3zbmI6h', 'display_url': 'pic.twitter.com/uDW3zbmI6h', 'expanded_url': 'https://twitter.com/mohammed_Rafi3/status/1388094557070495744/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1079, 'h': 596, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1079, 'h': 596, 'resize': 'fit'}, 'small': {'w': 680, 'h': 376, 'resize': 'fit'}}, 'source_status_id': 1388094557070495744, 'source_status_id_str': '1388094557070495744', 'source_user_id': 945728270, 'source_user_id_str': '945728270'}]}"
"RT @mohammed_Rafi3: - شخص قرر يتلقى اللقاح 
- دائرة المؤامرات الماسونية بامريكا : https://t.co/uDW3zbmI6h",2021-04-30 11:44:24,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mohammed_Rafi3', 'name': 'Mohammed Rafi 🕸', 'id': 945728270, 'id_str': '945728270', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1388094552070840320, 'id_str': '1388094552070840320', 'indices': [82, 105], 'media_url': 'http://pbs.twimg.com/media/E0OApALWYAATXGE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E0OApALWYAATXGE.jpg', 'url': 'https://t.co/uDW3zbmI6h', 'display_url': 'pic.twitter.com/uDW3zbmI6h', 'expanded_url': 'https://twitter.com/mohammed_Rafi3/status/1388094557070495744/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1079, 'h': 596, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1079, 'h': 596, 'resize': 'fit'}, 'small': {'w': 680, 'h': 376, 'resize': 'fit'}}, 'source_status_id': 1388094557070495744, 'source_status_id_str': '1388094557070495744', 'source_user_id': 945728270, 'source_user_id_str': '945728270'}]}"
"- شخص قرر يتلقى اللقاح 
- دائرة المؤامرات الماسونية بامريكا : https://t.co/uDW3zbmI6h",2021-04-30 11:35:06,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1388094552070840320, 'id_str': '1388094552070840320', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/media/E0OApALWYAATXGE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E0OApALWYAATXGE.jpg', 'url': 'https://t.co/uDW3zbmI6h', 'display_url': 'pic.twitter.com/uDW3zbmI6h', 'expanded_url': 'https://twitter.com/mohammed_Rafi3/status/1388094557070495744/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1079, 'h': 596, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1079, 'h': 596, 'resize': 'fit'}, 'small': {'w': 680, 'h': 376, 'resize': 'fit'}}}]}"
"2/2 
على أعتاب موجة #كورونا جديدة ومع وصول اللقاح، مخاوف من التمييز بإعطاء اللقاح في مناطق #النظام، واستخدامه اللقا… https://t.co/qTvaFPZx9Y",2021-04-30 11:26:49,,,,ar,"{'hashtags': [{'text': 'كورونا', 'indices': [20, 27]}, {'text': 'النظام', 'indices': [91, 98]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qTvaFPZx9Y', 'expanded_url': 'https://twitter.com/i/web/status/1388092471842848769', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
1/2 تلقى عدد من الشخصيات في مديرية صحة #إدلب والكوادر الطبية وعناصر من #الدفاع_المدني اللقاح ضد #كوفيد19، وذلك في ح… https://t.co/pRaRF20IwU,2021-04-30 11:26:47,,,,ar,"{'hashtags': [{'text': 'إدلب', 'indices': [39, 44]}, {'text': 'الدفاع_المدني', 'indices': [71, 85]}, {'text': 'كوفيد19', 'indices': [96, 104]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pRaRF20IwU', 'expanded_url': 'https://twitter.com/i/web/status/1388092465295634434', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
